Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
IDFC Credit Risk Fund-Reg(H-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,10.42,5.03,3.28,4.08,1000.0,1.6,1000.0
IDFC Credit Risk Fund-Reg(A-IDCW), Debt - Credit Risk Fund, Open ended, NIFTY Credit Risk Bond Index,10.42,5.03,3.28,3.72,1000.0,1.6,1000.0
Mahindra Manulife Multi Cap Badhat Yojana-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,17.22,-0.54,18.97,13.1,1000.0,2.3,1000.0
Aditya Birla SL G-Sec Fund(G), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,67.54,4.2,1.92,4.97,1000.0,0.94,1000.0
Aditya Birla SL G-Sec Fund(Q-IDCW), Debt - Gilt Fund, Open ended, Nifty All Duration G-Sec Index,11.1,4.2,1.92,4.84,1000.0,0.94,1000.0
Aditya Birla SL Equity Hybrid '95 Fund(IDCW-Reinv), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,146.15,-5.06,10.74,6.33,1000.0,1.85,1000.0
Aditya Birla SL Equity Hybrid '95 Fund(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,1043.65,-5.06,10.81,6.7,1000.0,1.85,1000.0
Aditya Birla SL Tax Relief '96(ELSS U/S 80C of IT ACT)(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,157.49,-0.65,6.16,4.75,1000.0,1.78,1000.0
HSBC Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,22.26,5.49,4.39,4.08,5000.0,0.73,1000.0
HSBC Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,10.86,5.45,4.41,4.0,5000.0,0.73,1000.0
HSBC Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,11.58,5.49,4.39,3.96,5000.0,0.73,1000.0
HSBC Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,13.1,5.49,4.39,3.92,5000.0,0.73,1000.0
HSBC Corporate Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,60.89,4.77,2.43,5.16,5000.0,0.63,1000.0
DSP G-Sec Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,12.46,4.84,3.14,5.5,1000.0,1.18,1000.0
DSP G-Sec Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,78.71,4.85,3.14,5.31,1000.0,1.18,1000.0
DSP Strategic Bond Fund-Reg(M-IDCW Reinv), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1061.76,3.83,1.96,4.16,1000.0,1.3712016129032258,1030.463038180341
DSP Strategic Bond Fund-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1244.91,3.83,1.97,3.67,1000.0,1.12,1000.0
DSP Strategic Bond Fund-Reg(G), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,2756.88,3.83,1.97,4.49,1000.0,1.12,1000.0
Quant Liquid Plan(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,12.89,4.92,2.31,1.53,5000.0,0.54,1000.0
Quant Liquid Plan(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,35.24,5.04,4.56,5.56,5000.0,0.54,1000.0
Quant Liquid Plan(M-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,15.2,4.67,3.06,1.86,5000.0,0.54,1000.0
Quant Liquid Plan(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,13.37,4.12,2.42,1.92,5000.0,0.54,1000.0
HSBC Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,20.43,3.85,1.42,4.38,5000.0,0.61,1000.0
HSBC Banking and PSU Debt Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,11.11,3.85,1.42,4.36,5000.0,0.61,1000.0
HSBC Banking and PSU Debt Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.79,3.85,1.42,4.29,5000.0,0.61,1000.0
HSBC Banking and PSU Debt Fund-Reg(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.31,3.85,1.42,4.3,5000.0,0.61,1000.0
Franklin India Bluechip Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,38.48,-0.27,13.63,8.32,5000.0,1.9,1000.0
Franklin India Bluechip Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,694.38,-0.27,13.63,8.77,5000.0,1.9,1000.0
Franklin India Equity Advantage Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,17.65,-1.13,13.98,8.24,5000.0,2.09,1000.0
Franklin India Equity Advantage Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,119.85,-1.13,13.98,8.46,5000.0,2.09,1000.0
Franklin India Smaller Cos Fund(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,35.39,8.78,23.08,9.25,5000.0,1.9,1000.0
Franklin India Smaller Cos Fund(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,96.57,8.78,23.4,9.62,5000.0,1.9,1000.0
Franklin India Taxshield(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,46.27,3.59,15.53,9.83,1000.0,1.9,1000.0
Franklin India Taxshield(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,894.41,3.59,15.53,10.25,1000.0,1.9,1000.0
IDFC G-Sec-Constant Maturity Plan-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,37.18,5.68,1.88,4.27,1000.0,0.65,1000.0
IDFC G-Sec-Constant Maturity Plan-Reg(M-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,10.47,5.68,1.88,3.95,1000.0,0.65,1000.0
IDFC G-Sec-Constant Maturity Plan-Reg(Q-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,11.34,5.69,1.88,3.99,1000.0,0.65,1000.0
HDFC Arbitrage-WP(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,25.91,4.6,3.87,4.65,1000.0,0.95,1000.0
HDFC Arbitrage-WP(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.86,4.59,3.82,4.36,1000.0,0.95,1000.0
HDFC Arbitrage-WP(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.48,4.61,3.82,4.35,1000.0,0.95,1000.0
HDFC Capital Builder Value Fund(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,26.94,3.13,15.73,7.85,1000.0,2.06,1000.0
HDFC Capital Builder Value Fund(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,446.89,3.11,16.16,8.39,1000.0,2.06,1000.0
HDFC Focused 30 Fund(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,20.04,16.74,20.21,9.5,1000.0,2.19,1000.0
HDFC Focused 30 Fund(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,134.34,16.73,20.65,10.03,1000.0,2.19,1000.0
HDFC Medium Term Debt Fund(FN-IDCW), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,10.11,5.02,3.01,5.26,1000.0,1.33,1000.0
HDFC Medium Term Debt Fund(G), Debt - Medium Duration Fund, Open ended, NIFTY Medium Duration Debt Index,46.99,5.02,3.01,5.32,1000.0,1.33,1000.0
HDFC Income Fund(Q-IDCW), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index,10.96,4.87,1.85,3.19,1000.0,2.06,1000.0
HDFC Income Fund(G), Debt - Medium to Long Duration Fund, Open ended, NIFTY Medium to Long Term Debt Index,48.55,4.87,1.85,3.37,1000.0,2.06,1000.0
HDFC Hybrid Debt Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,63.18,5.52,9.38,7.68,1000.0,1.83,1000.0
HDFC Hybrid Debt Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,13.26,5.52,9.19,6.35,1000.0,1.83,1000.0
HDFC Hybrid Debt Fund(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,14.18,5.52,9.09,6.36,1000.0,1.83,1000.0
HDFC TaxSaver(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,59.2,12.58,16.52,8.13,1000.0,1.92,1000.0
HDFC TaxSaver(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,820.26,12.58,17.1,8.73,1000.0,1.92,1000.0
HDFC Top 100 Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,51.53,9.64,15.38,9.91,1000.0,1.79,1000.0
HDFC Top 100 Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,757.4,9.56,15.92,10.52,1000.0,1.79,1000.0
HSBC Liquid Fund(DD-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1001.38,5.2,4.01,4.39,100000.0,0.22,1000.0
HSBC Liquid Fund(G), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,2207.61,5.21,4.08,5.22,5000.0,0.22,1000.0
HSBC Liquid Fund(W-IDCW), Debt - Liquid Fund, Open ended, Nifty Liquid Fund Index,1107.81,5.16,3.94,4.35,100000.0,0.22,1000.0
HSBC Large Cap Fund(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,37.32,0.44,11.93,9.25,5000.0,2.22,1000.0
HSBC Large Cap Fund(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,321.01,0.44,11.93,9.62,5000.0,2.22,1000.0
HSBC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,130.76,-1.53,12.81,7.97,5000.0,1.98,1000.0
ICICI Pru Midcap Fund(IDCW), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,27.51,4.36,19.33,9.3,5000.0,2.09,1000.0
